/home/ubuntu/repo-supabase-audit/apps/mobile/src/domain/repositories/checkin.repository.ts: line 37, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/domain/repositories/checkin.repository.ts: line 47, col 17, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/domain/repositories/checkin.repository.ts: line 79, col 43, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/lib/supabase.ts: line 17, col 21, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 5, col 8, Error - 'DailySummaryScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 6, col 8, Error - 'CheckinScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 7, col 8, Error - 'CheckInResultScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 8, col 8, Error - 'AuthScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 11, col 8, Error - 'HrvTestScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 12, col 8, Error - 'HrvResultScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/navigation/RootStackNavigator.tsx: line 13, col 8, Error - 'CycleCalendarScreen' is defined but never used. (@typescript-eslint/no-unused-vars)
